DATE,OPEN,HIGH,LOW,CLOSE
1.95E+07,23.61,23.61,23.61,23.61
1.95E+07,23.7,23.7,23.7,23.7
1.95E+07,23.85,23.85,23.85,23.85
1.95E+07,23.77,23.77,23.77,23.77
1.95E+07,23.69,23.69,23.69,23.69
1.95E+07,23.67,23.67,23.67,23.67
1.95E+07,23.32,23.32,23.32,23.32
1.95E+07,22.75,22.75,22.75,22.75
1.95E+07,22.84,22.84,22.84,22.84
1.95E+07,23.03,23.03,23.03,23.03
1.95E+07,22.96,22.96,22.96,22.96
1.95E+07,22.81,22.81,22.81,22.81
1.95E+07,22.69,22.69,22.69,22.69
1.95E+07,22.66,22.66,22.66,22.66
1.95E+07,22.94,22.94,22.94,22.94
1.95E+07,23.1,23.1,23.1,23.1
1.95E+07,22.93,22.93,22.93,22.93
1.95E+07,22.82,22.82,22.82,22.82
1.95E+07,22.49,22.49,22.49,22.49
1.95E+07,22.47,22.47,22.47,22.47
1.95E+07,22.75,22.75,22.75,22.75
1.95E+07,22.79,22.79,22.79,22.79
1.95E+07,22.85,22.85,22.85,22.85
1.95E+07,22.84,22.84,22.84,22.84
1.95E+07,22.82,22.82,22.82,22.82
1.95E+07,22.73,22.73,22.73,22.73
1.95E+07,22.68,22.68,22.68,22.68
1.95E+07,22.64,22.64,22.64,22.64
1.95E+07,22.4,22.4,22.4,22.4
1.95E+07,22.43,22.43,22.43,22.43
1.95E+07,22.66,22.66,22.66,22.66
1.95E+07,22.61,22.61,22.61,22.61
1.95E+07,22.67,22.67,22.67,22.67
1.95E+07,22.88,22.88,22.88,22.88
1.95E+07,23.01,23.01,23.01,23.01
1.95E+07,23.14,23.14,23.14,23.14
1.95E+07,23.07,23.07,23.07,23.07
1.95E+07,23.34,23.34,23.34,23.34
1.95E+07,23.38,23.38,23.38,23.38
1.95E+07,23.42,23.42,23.42,23.42
1.95E+07,23.3,23.3,23.3,23.3
1.95E+07,23.37,23.37,23.37,23.37
1.95E+07,23.39,23.39,23.39,23.39
1.95E+07,23.37,23.37,23.37,23.37
1.95E+07,23.41,23.41,23.41,23.41
1.95E+07,23.49,23.49,23.49,23.49
1.95E+07,23.57,23.57,23.57,23.57
1.95E+07,23.57,23.57,23.57,23.57
1.95E+07,23.51,23.51,23.51,23.51
1.95E+07,23.54,23.54,23.54,23.54
1.95E+07,23.44,23.44,23.44,23.44
1.95E+07,23.65,23.65,23.65,23.65
1.95E+07,23.69,23.69,23.69,23.69
1.95E+07,23.77,23.77,23.77,23.77
1.95E+07,23.8,23.8,23.8,23.8
1.95E+07,23.88,23.88,23.88,23.88
1.95E+07,23.92,23.92,23.92,23.92
1.95E+07,23.91,23.91,23.91,23.91
1.95E+07,23.82,23.82,23.82,23.82
1.95E+07,23.74,23.74,23.74,23.74
1.95E+07,23.86,23.86,23.86,23.86
1.95E+07,23.98,23.98,23.98,23.98
1.95E+07,24.16,24.16,24.16,24.16
1.95E+07,24.06,24.06,24.06,24.06
1.95E+07,24.09,24.09,24.09,24.09
1.95E+07,24.2,24.2,24.2,24.2
1.95E+07,24.25,24.25,24.25,24.25
1.95E+07,24.46,24.46,24.46,24.46
1.95E+07,24.66,24.66,24.66,24.66
1.95E+07,24.54,24.54,24.54,24.54
1.95E+07,24.56,24.56,24.56,24.56
1.95E+07,24.55,24.55,24.55,24.55
1.95E+07,24.61,24.61,24.61,24.61
1.95E+07,24.57,24.57,24.57,24.57
1.95E+07,24.23,24.23,24.23,24.23
1.95E+07,24.14,24.14,24.14,24.14
1.95E+07,24.3,24.3,24.3,24.3
1.95E+07,24.12,24.12,24.12,24.12
1.95E+07,24.11,24.11,24.11,24.11
1.95E+07,24.18,24.18,24.18,24.18
1.95E+07,24.11,24.11,24.11,24.11
1.95E+07,24.24,24.24,24.24,24.24
1.95E+07,24.11,24.11,24.11,24.11
1.95E+07,23.92,23.92,23.92,23.92
1.95E+07,23.87,23.87,23.87,23.87
1.95E+07,23.86,23.86,23.86,23.86
1.95E+07,23.74,23.74,23.74,23.74
1.95E+07,23.36,23.36,23.36,23.36
1.95E+07,23.09,23.09,23.09,23.09
1.95E+07,23.16,23.16,23.16,23.16
1.95E+07,23.23,23.23,23.23,23.23
1.95E+07,23.15,23.15,23.15,23.15
1.95E+07,23.18,23.18,23.18,23.18
1.95E+07,23.29,23.29,23.29,23.29
1.95E+07,23.26,23.26,23.26,23.26
1.95E+07,23.29,23.29,23.29,23.29
1.95E+07,23.68,23.68,23.68,23.68
1.95E+07,23.71,23.71,23.71,23.71
1.95E+07,23.69,23.69,23.69,23.69
1.95E+07,23.72,23.72,23.72,23.72
1.95E+07,23.6,23.6,23.6,23.6
1.95E+07,23.62,23.62,23.62,23.62
1.95E+07,23.73,23.73,23.73,23.73
1.95E+07,23.75,23.75,23.75,23.75
1.95E+07,23.75,23.75,23.75,23.75
1.95E+07,23.92,23.92,23.92,23.92
1.95E+07,23.87,23.87,23.87,23.87
1.95E+07,23.82,23.82,23.82,23.82
1.95E+07,23.89,23.89,23.89,23.89
1.95E+07,23.93,23.93,23.93,23.93
1.95E+07,23.93,23.93,23.93,23.93
1.95E+07,23.79,23.79,23.79,23.79
1.95E+07,23.78,23.78,23.78,23.78
1.95E+07,23.99,23.99,23.99,23.99
1.95E+07,24.18,24.18,24.18,24.18
1.95E+07,24.37,24.37,24.37,24.37
1.95E+07,24.18,24.18,24.18,24.18
1.95E+07,24.12,24.12,24.12,24.12
1.95E+07,24.12,24.12,24.12,24.12
1.95E+07,24.02,24.02,24.02,24.02
1.95E+07,23.8,23.8,23.8,23.8
1.95E+07,23.91,23.91,23.91,23.91
1.95E+07,23.94,23.94,23.94,23.94
1.95E+07,24.11,24.11,24.11,24.11
1.95E+07,23.95,23.95,23.95,23.95
1.95E+07,23.65,23.65,23.65,23.65
1.95E+07,23.58,23.58,23.58,23.58
1.95E+07,23.41,23.41,23.41,23.41
1.95E+07,23.5,23.5,23.5,23.5
1.95E+07,23.69,23.69,23.69,23.69
1.95E+07,23.58,23.58,23.58,23.58
1.95E+07,23.48,23.48,23.48,23.48
1.95E+07,23.43,23.43,23.43,23.43
1.95E+07,23.54,23.54,23.54,23.54
1.95E+07,23.55,23.55,23.55,23.55
1.95E+07,23.49,23.49,23.49,23.49
1.95E+07,23.32,23.32,23.32,23.32
1.95E+07,23.17,23.17,23.17,23.17
1.95E+07,23.56,23.56,23.56,23.56
1.95E+07,23.66,23.66,23.66,23.66
1.95E+07,23.67,23.67,23.67,23.67
1.95E+07,23.81,23.81,23.81,23.81
1.95E+07,23.86,23.86,23.86,23.86
1.95E+07,23.84,23.84,23.84,23.84
1.95E+07,23.75,23.75,23.75,23.75
1.95E+07,23.78,23.78,23.78,23.78
1.95E+07,23.68,23.68,23.68,23.68
1.95E+07,23.6,23.6,23.6,23.6
1.95E+07,23.56,23.56,23.56,23.56
1.95E+07,23.61,23.61,23.61,23.61
1.95E+07,23.74,23.74,23.74,23.74
1.95E+07,23.78,23.78,23.78,23.78
1.95E+07,23.91,23.91,23.91,23.91
1.95E+07,23.89,23.89,23.89,23.89
1.95E+07,23.94,23.94,23.94,23.94
1.95E+07,23.88,23.88,23.88,23.88
1.95E+07,23.84,23.84,23.84,23.84
1.95E+07,23.86,23.86,23.86,23.86
1.95E+07,23.8,23.8,23.8,23.8
1.95E+07,23.78,23.78,23.78,23.78
1.95E+07,23.95,23.95,23.95,23.95
